Max Queue length: 37972, Items in state: 59111, Solv Len: 11
Max Queue length: 19099, Items in state: 22397, Solv Len: 7
Max Queue length: 32163, Items in state: 39989, Solv Len: 9
Max Queue length: 38004, Items in state: 59225, Solv Len: 11
Max Queue length: 32726, Items in state: 40815, Solv Len: 9
Max Queue length: 38169, Items in state: 59395, Solv Len: 11
Max Queue length: 38175, Items in state: 59089, Solv Len: 11
Max Queue length: 32317, Items in state: 40464, Solv Len: 9
Max Queue length: 12725, Items in state: 14355, Solv Len: 7
Max Queue length: 31274, Items in state: 39320, Solv Len: 9
Max Queue length: 31595, Items in state: 39684, Solv Len: 9
Max Queue length: 12436, Items in state: 14066, Solv Len: 7
Max Queue length: 32489, Items in state: 40418, Solv Len: 9
Max Queue length: 31992, Items in state: 40192, Solv Len: 9
Max Queue length: 18193, Items in state: 21305, Solv Len: 7
Max Queue length: 13074, Items in state: 14804, Solv Len: 7
Max Queue length: 32577, Items in state: 40506, Solv Len: 9
Max Queue length: 31438, Items in state: 39262, Solv Len: 9
Max Queue length: 32082, Items in state: 40067, Solv Len: 9
Max Queue length: 32287, Items in state: 40151, Solv Len: 9
Max Queue length: 37722, Items in state: 59041, Solv Len: 11
Max Queue length: 31912, Items in state: 40002, Solv Len: 9
Max Queue length: 12828, Items in state: 14560, Solv Len: 7
Max Queue length: 38606, Items in state: 58994, Solv Len: 10
Max Queue length: 12814, Items in state: 14528, Solv Len: 7
Max Queue length: 32316, Items in state: 40429, Solv Len: 9
Max Queue length: 32687, Items in state: 40779, Solv Len: 9
Max Queue length: 31559, Items in state: 39388, Solv Len: 9
Max Queue length: 31674, Items in state: 39981, Solv Len: 9
Max Queue length: 37504, Items in state: 59096, Solv Len: 11
Max Queue length: 32047, Items in state: 40151, Solv Len: 9
Max Queue length: 32090, Items in state: 40270, Solv Len: 9
Max Queue length: 37173, Items in state: 59007, Solv Len: 11
Max Queue length: 34672, Items in state: 47313, Solv Len: 9
Max Queue length: 32534, Items in state: 40526, Solv Len: 9
Max Queue length: 37968, Items in state: 59447, Solv Len: 11
Max Queue length: 11839, Items in state: 13435, Solv Len: 7
Max Queue length: 32316, Items in state: 40207, Solv Len: 9
Max Queue length: 38140, Items in state: 59276, Solv Len: 11
Max Queue length: 12423, Items in state: 14169, Solv Len: 6
Max Queue length: 31892, Items in state: 39630, Solv Len: 9
Max Queue length: 12771, Items in state: 14422, Solv Len: 7
Max Queue length: 37969, Items in state: 58836, Solv Len: 11
Max Queue length: 18360, Items in state: 21560, Solv Len: 7
Max Queue length: 38610, Items in state: 59320, Solv Len: 11
Max Queue length: 32321, Items in state: 40302, Solv Len: 9
Max Queue length: 37456, Items in state: 64782, Solv Len: 13
Max Queue length: 31938, Items in state: 39762, Solv Len: 9
Max Queue length: 32001, Items in state: 39905, Solv Len: 9
Max Queue length: 13092, Items in state: 14840, Solv Len: 7
Max Queue length: 31740, Items in state: 39583, Solv Len: 9
Max Queue length: 12530, Items in state: 14133, Solv Len: 7
Max Queue length: 37925, Items in state: 59530, Solv Len: 11
Max Queue length: 12627, Items in state: 14266, Solv Len: 7
Max Queue length: 18238, Items in state: 21435, Solv Len: 7
